id,name,place,location,landmark,ratings,info,price,tag,accessibility,occupancy,description,reviews,lat,lng,tax
1,Park Inn by Radisson Goa Candolim,Goa,Candolim,| 7 minutes walk to Candolim Beach,3.8,"['Gym', 'Swimming Pool']","₹6,192 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.51807,73.76259,
2,Elements by Rosetta,Goa,South Goa,| 1.7 km drive to Varca Beach,4.9,"['Gym', 'Swimming Pool']","₹13,494 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedAvailINR3500hotelvoucherredeemableonstayof3daysormore20%offonsessionofSpa,,44.4264,8.91519,
3,Hotel Jyoti Plaza,Goa,Margao,null,4.1,"['Bar', 'Jacuzzi']","₹2,092 per night",null,null,null,Breakfastavailableatextracharges,,44.4264,8.91519,
4,Novotel Goa Resort and Spa Candolim,Goa,Candolim,| 4 minutes walk to Candolim Beach,4.1,"['Spa', 'Gym']","₹11,124 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableComeswith2outdoorpools,Jacuzzi&TurkishHammam",,15.51807,73.76259,
5,Resorte Marinha Dourada,Goa,Arpora,| 2.2 km drive to Baga Beach,3.9,"['Swimming Pool', 'Beds in a Hostel']","₹7,090 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
6,Panjim City Dorms,Goa,Panjim,| 8 minutes walk to Deltin Royale,3.8,"['| 2 Dorm Beds', 'Lounge']",₹872 per night,null,Beds in a Hostel,| 2 Dorm Beds,"Idyllichostelfeaturingalounge,diningarea&freeWi-Fi",,44.4264,8.91519,
7,Island House,Goa,Tiswadi,null,4.3,"['Caretaker', '| 1 Bedroom | Sleeps 2 guests']","₹4,932 per night",Like a 4 Star,Room in a Homestay,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedHomestayfeaturingapool,restaurant&freeparking",,44.4264,8.91519,
8,"Fortune Resort Benaulim, Goa",Goa,Benaulim,| 4-5 minutes walk from Benaulim Beach,4.1,"['Swimming Pool', 'Caretaker']","₹17,640 per night",null,null,null,CoupleFriendlyBreakfastIncluded15%DiscountOnF&BServices,,15.27004,73.93461,
9,Alekhya Suites,Goa,Panjim,| 1.1 km drive to Miramar Beach,3.5,"['Gym', 'Swimming Pool']","₹3,325 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
10,Resort Lagoa Azul,Goa,Arpora,| 2.8 km drive to Baga Beach,4,"['Spa', 'Swimming Pool']","₹4,128 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
11,Downtown Anjuna - The Party Hostel,Goa,Anjuna,| 1.6 km drive to Anjuna Beach,4.4,"['Gym', 'Swimming Pool']","₹2,099 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,44.4264,8.91519,
12,I Love Bell Bottoms Vagator Goa,Goa,Vagator,| 1.3 km drive to Vagator Beach,4.2,"['Beds in a Hostel', '| 2 Dorm Beds']","₹6,123 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableEnjoyHappyHourswith2+1offeronAlcoholicDrinks,SoftBeverages",,15.59766,73.74496,
13,Grand Vatika Resort,Goa,Arambol,| 2.7 km drive to Mandrem Beach,4.4,"['Swimming Pool', 'Kitchenette']","₹3,274 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
14,Whoopers Hostel Palolem | Room & Dorms,Goa,Palolem,| 2 minutes walk to Palolem Beach,3.9,"['Swimming Pool', 'Gym']","₹1,292 per night",null,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyFunhostelfeaturingacafe,powerbackup,kitchen&Wi-Fi",,,,
15,Fortune Select Candolim-Member ITC's Hotel Group,Goa,Candolim,| 1.2 km drive to Candolim Beach,4.8,"['Gym', 'Swimming Pool']","₹8,549 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
16,goSTOPS Goa Baga,Goa,Baga,| 1.7 km drive to Baga Beach,4.1,"['Beds in a Hostel', '| 2 Dorm Beds']","₹1,671 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Vibranthostelofferingapool,playarea&lounge",,15.56517,73.75517,
17,Hotel Gautam (A Vegetarian Hotel),Goa,Povorim,null,5,"['Caretaker', 'Restaurant']","₹3,612 per night",null,null,null,FreeCancellationBook@₹0available,,44.4264,8.91519,
18,All Seasons Guest House | Rooms & Dorms,Goa,Margao,null,4.4,"['Spa', 'Swimming Pool']","₹2,145 per night",null,Room in a Hostel,| 1 Bedroom | Sleeps 5 guests,CoupleFriendlyBreakfastavailableatextracharges,,,,
19,Rosetum Anjuna,Goa,Anjuna,| 8 minutes walk to Anjuna Beach,3.9,"['Beds in a Hostel', '| 2 Dorm Beds']","₹2,989 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges,,15.585623,73.7439931,
20,The Lalit Golf & Spa Resort,Goa,Palolem,| 6 minutes walk to Rajbag Beach,3.9,"['Swimming Pool', 'Living Room']","₹19,304 per night",null,null,null,CoupleFriendlyBreakfastIncludedsessionofSpa,,14.9899652,74.039823,
21,The Park Calangute,Goa,Calangute,| 2-3 minutes walk from Calangute Beach,4,"['Indoor Games', '| 1 Bedroom | Sleeps 5 guests']","₹13,660 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.5337235,73.7597747,
22,Yu hotel,Goa,Candolim,| 8 minutes walk to Candolim Beach,4.3,"['Caretaker', 'Luggage Storage']","₹8,703 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesAvail20%discountonfood&beverages,,44.4264,8.91519,
23,"Hilton Goa Resort,Candolim",Goa,Candolim,Ends  in  18h:  03m:  41s,4.6,"['Gym', 'Swimming Pool']","₹13,088 per night",null,null,null,CoupleFriendlyBreakfastIncludedGet1freebeerbucketonceduringthestayatthein-houseeatery@Saipe,,15.5201373,73.7952488,
24,Passions de Goa,Goa,Anjuna,null,3.8,"['Gym', 'Private Beach']","₹2,325 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.5726356,73.7478093,
25,The Tanisi,Goa,Candolim,| 3-4 minutes walk from Anjuna Beach,3.8,"['Gym', 'Swimming Pool']","₹8,146 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableGuaranteed20%DiscountonHi-Tea/Buffet/Drinks/Brunch/Bakery/Cake,,44.4264,8.91519,
26,La Vaiencia beach resort,Goa,Morjim,| 5 minutes walk to Candolim Beach,3.7,"['Spa', 'Gym']","₹3,408 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.6191097,73.7350426,
